train_seasons,test_season,n_train,n_test,rmse_full,rmse_reduced,mae_full,mae_reduced
22022,22023,2430,2430,15.493064721128986,15.551735630608926,12.303080544663112,12.383938336653841
"22022,22023",22024,4860,2430,15.598164934820797,15.67480686735085,12.311016297388202,12.385436823763692
