,point_diff,point_diff,point_diff,EFG_PCT,EFG_PCT,EFG_PCT,TOV,TOV,TOV
,coef,cluster_se,pvalue,coef,cluster_se,pvalue,coef,cluster_se,pvalue
C(season)[T.22023],0.005035864450695405,0.7346334633207503,0.9945305962383748,0.0006105797519942261,0.003436778069320254,0.8589895985483229,-0.4665788788303643,0.19426176639011805,0.0163144031820267
C(season)[T.22024],0.017754862870591113,0.9878326354411697,0.9856599511327017,-0.002452635701123292,0.0036024238624305753,0.4959795107133368,0.08705005351416395,0.23657926944708246,0.7129082748985582
EFG_PCT_lag1,,,,0.08689142860225714,0.012664068974739595,6.825736070276974e-12,,,
IS_HOME_int,4.051374403989368,0.3678561353556893,3.2906116403332077e-28,0.009588866076474597,0.001768949606010675,5.9380957269206285e-08,-0.066520843495113,0.07823745359538696,0.3951900262729052
Intercept,-1.897925038152559,0.6579337868412259,0.003918181277265222,0.49616850614971525,0.007608334551129633,0.0,12.207215977002939,0.34425865622706764,2.0757282364199274e-275
TOV_lag1,,,,,,,0.10574862311841143,0.01572449953474019,1.7548788598328603e-11
is_back_to_back,-2.802559673662384,0.5824230973901465,1.4950476419136589e-06,-0.007873710315961483,0.002097191491030088,0.00017375237358457568,-0.03033302297562067,0.15042538244330964,0.8401916811109358
is_short_rest,-0.3387282301564098,0.33272803210076796,0.30866211166499435,-0.0015340412035811351,0.001756928226504494,0.3825877378423739,-0.11472658659282967,0.14211594766824998,0.4195083277135633
opp_is_back_to_back,2.7398293673940217,0.4728778781486774,6.875115943558186e-09,0.006118219443288875,0.002377628133148528,0.010074989161044231,-0.2204791468789676,0.12368765425194934,0.07465995556101586
opp_is_short_rest,0.1873603101225159,0.39736173949622766,0.6372760837326139,0.00034010129274090936,0.002044670572299022,0.8678929337589885,-0.05807285267929116,0.12049318477625964,0.6298346132825612
point_diff_lag1,0.13237964347789555,0.020089386159995688,4.412165358222641e-11,,,,,,
